customer_no,Contribution_total_giving,Tickets___Total_Amount,Tickets_Number_of_Unique_Perfs,num stb last 5 years,num yrs donor,num yrs sub,num yrs stb,Difference between Earliest Engagement and First Donation,First Contribution Amount,Category
1012,8216.5,31456.25,86,5,6,22,16,35,0,Patron+
1226,344111,54837,108,13,22,20,23,0,0,Patron+
1406,159026,30439.95,129,14,21,22,21,113,0,Patron+
1948,33485,14637.5,88,11,20,22,18,227,0,Patron+
2335,85683,35013.5,41,10,10,17,16,4155,0,Patron+
2516,232067.5,41207.25,78,2,15,19,14,26,1000,Patron+
2712,174350,86950,87,0,19,19,12,152,1000,Patron+
2876,44575,26172,88,8,6,21,20,432,50,Patron+
2925,94175,26613.5,95,18,18,20,21,240,10,Patron+
3112,22921.5,18196,80,5,15,22,12,1381,10,Patron+
3295,19750,15044,36,10,9,15,14,2598,100,Patron+
3466,526315,50547.5,96,4,18,21,11,1246,0,Patron+
4630,8670,9414.25,76,8,18,22,18,122,25,Patron+
5192,31695.6,44449.75,70,2,18,19,12,136,1000,Patron+
7031,313650,86939.5,87,16,18,22,21,251,1750,Patron+
7192,104607,22366.05,112,2,20,19,17,49,100,Patron+
7272,15239.5,33807.75,93,13,16,22,21,1310,25,Patron+
9614,290976.8,31201,56,21,16,6,17,5,0,Patron+
10423,27198,21847,60,8,22,18,18,0,50,Patron+
10500,204879,50024.16,93,16,20,22,22,240,25,Patron+
12105,58281.82,24842.5,72,2,12,14,14,567,25,Patron+
13071,299996,8194,45,0,9,4,6,61,20,Patron+
13107,116800,47192.25,72,3,17,17,15,0,0,Patron+
13159,17500,19764,21,9,5,13,12,2602,2500,Patron+
13226,440965.22,57609,82,5,18,22,18,38,10,Patron+
13406,25131,31109.8,104,7,21,22,18,137,50,Patron+
18401,66688,20994.25,80,11,22,22,19,113,20,Patron+
20153,38530,15330.75,102,22,20,22,22,354,30,Patron+
20984,70870.5,20145.5,93,6,21,22,19,421,25,Patron+
21189,19380.09,43420.25,93,11,12,22,20,1821,25,Patron+
29649,201844.2,63973.75,128,14,16,19,18,522,100,Patron+
33361,93100,4346.5,,5,3,2,5,0,250,Patron+
45402,116100,27577.5,98,8,20,21,20,156,50,Patron+
49405,2085791.73,69217.25,128,24,20,21,22,237,2000,Patron+
54821,11820,2575,,3,2,2,4,1887,30,Patron+
54896,186539.5,23963,8,15,8,8,8,2558,1000,Patron+
55595,4400,10198.85,69,10,6,17,18,2305,100,Patron+
56385,85000,1536.5,21,2,13,1,16,1464,5000,Patron+
88234,10275,15008.5,57,3,4,19,9,5569,50,Patron+
91610,22175.42,18261.5,93,3,20,20,13,126,250,Patron+
91969,19952.5,48691,86,6,19,22,16,245,100,Patron+
92030,23800,28572.5,38,14,15,14,15,390,50,Patron+
92879,6454.5,12599.5,56,2,5,13,14,2348,100,Patron+
95150,50200.46,23355.75,85,18,19,20,21,103,50,Patron+
99173,14504,13615.75,104,13,17,22,21,506,25,Patron+
101857,42734,16371.5,83,12,20,21,18,40,50,Patron+
102132,17925,14056,61,2,18,15,13,59,25,Patron+
104345,308811.5,64841.1,126,23,20,22,21,191,100,Patron+
105879,33705,18870.5,84,17,20,22,16,144,100,Patron+
108721,56938,33076.5,39,20,7,5,10,5644,618,Patron+
108773,20146,2476.5,11,5,7,3,11,5158,36,Patron+
109023,36725,574,,1,10,0,1,0,1000,Patron+
109533,238695,36867.6,52,19,11,10,11,27,240,Patron+
115393,421056.4,20163.5,107,12,16,22,22,0,200,Patron+
119424,50055,23709.75,19,10,8,8,17,5378,25,Patron+
120544,42250,26816.15,71,5,19,16,16,47,250,Patron+
120615,125005.9,17523,123,18,21,22,21,441,100,Patron+
120626,104315,20158,83,24,20,22,21,46,50,Patron+
120813,322135,83051.25,87,20,19,22,20,113,75,Patron+
121312,179872.83,28014,38,15,12,17,20,49,500,Patron+
130055,15750,15306,1,1,6,8,4,901,250,Patron+
131872,406908.2,71730.5,82,6,22,22,20,18,100,Patron+
135314,342470,45468.5,114,13,18,22,21,97,250,Patron+
135615,95250.75,16930.75,76,15,14,21,21,2097,25,Patron+
136888,301000,40855,2,17,18,7,16,543,5000,Patron+
142408,37000,14407.5,24,12,1,5,7,7338,1000,Patron+
143653,61772,15516.5,94,10,22,22,20,245,50,Patron+
154010,25875,31111,89,4,14,22,16,3041,25,Patron+
155464,88858,58934.25,34,23,13,14,15,1761,500,Patron+
156130,219800,45446.25,84,19,18,19,21,85,50,Patron+
157947,202062.75,7934.15,4,19,7,2,8,5195,12500,Patron+
160840,21093.5,27415.5,87,6,18,21,19,158,125,Patron+
164397,19775,19568,52,12,16,18,17,1269,25,Patron+
168354,194210,17428.6,31,20,9,15,13,4194,1000,Patron+
174666,9250,2742,50,9,14,18,7,1192,50,Patron+
176161,310388.2,900.8,11,1,16,0,5,0,1150,Patron+
178451,71902.5,26383.45,100,13,21,22,19,47,50,Patron+
179183,24278.58,26537.5,87,13,11,22,20,535,108,Patron+
180465,96310,19491,125,22,19,22,20,919,200,Patron+
182957,173787.55,29671.1,80,19,21,19,22,265,250,Patron+
184893,60498.35,27618,77,21,20,19,19,25,0,Patron+
184986,184976,36419.2,81,18,18,22,16,870,250,Patron+
185227,18500,5596,,9,6,0,3,0,500,Patron+
193234,32533.5,26185.5,94,15,16,22,20,1644,4,Patron+
193444,11500,7282,34,1,5,7,8,732,250,Patron+
193540,36349.04,27405,94,9,15,22,20,270,500,Patron+
198150,57146.12,3349.1,,10,8,0,6,9,1000,Patron+
198159,12518.25,6876,,8,2,1,4,794,250,Patron+
200209,53850,22370.5,74,13,12,21,18,3597,250,Patron+
202837,61000,31664.5,83,13,22,22,21,208,1500,Patron+
203247,15053.18,2258.5,6,6,10,2,8,569,100,Patron+
206820,16411.33,14617.5,50,1,8,11,9,156,200,Patron+
216852,111375,63134.35,100,15,16,22,21,73,100,Patron+
220401,177990,26463.76,117,5,17,20,17,97,300,Patron+
221596,46420,53176,53,15,14,16,16,2401,20,Patron+
222987,54657,29879.9,88,20,10,21,21,1446,92,Patron+
224465,111525,50693.5,104,9,15,18,19,68,2500,Patron+
225757,78250,12532,,6,4,4,6,1286,250,Patron+
226470,118888,46687.5,85,4,21,22,13,274,120,Patron+
230034,11255,14920.5,63,3,10,11,12,229,25,Patron+
230524,76500,12765,57,11,11,17,16,2459,250,Patron+
231415,91250,14087.5,58,9,13,17,13,1625,250,Patron+
232422,155986.2,33331.5,20,2,12,13,8,0,50,Patron+
234869,177786.48,82104.5,49,5,18,18,11,0,12,Patron+
239830,148069,16676.25,67,11,15,18,18,1674,50,Patron+
242835,35000,11890,50,10,9,16,16,1882,250,Patron+
243279,342190.24,60309,56,13,18,18,17,0,1200,Patron+
243405,216636.72,52239,27,11,12,12,11,0,150,Patron+
248896,140760,26198.75,78,1,14,22,21,1996,4,Patron+
250883,30500,32036.75,81,9,12,21,21,3379,250,Patron+
251253,107710,63901.25,80,3,22,22,15,0,4000,Patron+
252160,34578.49,8574.5,3,16,11,11,15,3086,100,Patron+
252240,41029,13045,70,16,11,19,20,2142,15,Patron+
500970,15546,18890,36,12,12,15,14,768,250,Patron+
2212589,189200,15337,13,10,5,4,7,3565,1000,Patron+
2213233,92000,,,1,5,0,4,5049,100,Patron+
2213981,12900,1198.15,3,11,10,18,17,835,70,Patron+
2216627,3770,18424.5,58,0,14,11,12,2060,1500,Patron+
2217115,60057,10312.5,79,12,15,19,18,1499,6,Patron+
2225207,230670,31133.75,63,10,3,3,3,0,50000,Patron+
2225548,155255.27,12300,,8,9,0,11,0,5000,Patron+
2235747,179500,6764.25,13,16,9,7,12,0,70,Patron+
2239407,25470,11076,6,15,11,13,13,3139,250,Patron+
2241186,77548.37,15123.25,16,6,18,10,9,0,1000,Patron+
2248156,1190178.82,37741.6,25,73,8,7,9,880,5000,Patron+
2251927,1101231.65,46734.15,,30,4,5,6,5103,10000,Patron+
2255196,147750,30431.29,7,4,14,12,11,395,40,Patron+
2257617,38785.82,10643.1,38,1,14,15,7,1111,500,Patron+
2259492,37500,12365.5,39,7,13,8,14,327,250,Patron+
2260936,157508.62,6940.25,40,11,7,3,3,0,2000,Patron+
2261511,57100,12390,,18,12,15,14,0,100,Patron+
2263626,168865.5,50592.75,37,27,3,13,13,4661,2500,Patron+
3005163,7500,10821.7,26,2,2,5,5,4210,5000,Patron+
3005810,7332,16333,1,2,7,5,8,88,9,Patron+
3007029,8625.85,4408.65,35,27,7,14,16,2923,5400,Patron+
3010242,102950.5,11019.4,33,11,15,13,13,0,100,Patron+
3017554,177318,46187,23,10,4,9,10,2174,240,Patron+
3018369,22090,17629,2,17,11,4,12,1247,100,Patron+
3019214,24699.12,9883.75,9,13,10,14,10,452,6000,Patron+
3020493,210000,80257.1,33,4,13,3,9,0,20000,Patron+
3022216,183883.51,30754.28,29,6,12,13,10,293,250,Patron+
3026417,39000,13994,20,6,3,5,6,0,4000,Patron+
3032222,,,,14,5,6,7,3333,250,Patron+
3048880,9665,17164,7,15,4,6,10,3054,50,Patron+
3049591,70750,8339,7,0,12,9,4,437,3000,Patron+
3051583,7550,4494.5,2,27,7,4,10,1160,250,Patron+
3052947,92849,25835,2,5,3,0,2,0,5000,Patron+
3054007,146610.5,11632,1,16,11,12,12,2129,500,Patron+
3055225,51000,2929,,2,10,2,6,0,100,Patron+
3058788,32500,16552.25,15,12,10,11,10,367,250,Patron+
3059286,10550,2427,2,18,8,10,12,1185,0,Patron+
3062494,186691,22741.75,9,6,3,11,7,3179,2500,Patron+
3062638,148485,36621.75,7,17,5,4,12,3001,5000,Patron+
3063350,7500,8357,8,14,6,7,6,486,2500,Patron+
3064395,350662.5,81336.5,5,17,8,11,10,359,250,Patron+
