customer_no,Affinity_Rating,Capacity_Database_USA_Individual_Income,Capacity_Donations,Capacity_Range_High,Capacity_Rating,Capacity_Real_Estate,Capacity_Range_Low,Donations_Count,Donations_Total_Value,Est__Capacity_Value,Frequency,Monetary,PROscore,Propensity_Rating,Properties_Count,RFM,Properties_Total_Value,Recency
1012,3,50000,2,250000,2,147971,50000,10,3,150000,4,1,3,4,2,3,1879000,4
1226,4,10000,18286,250000,2,116322,50000,57,51202,116322,4,4,3,4,1,4,1477100,4
1406,4,4000,103333,250000,2,1575,50000,66,248000,103333,4,4,3,4,1,4,150000,4
1948,4,,28605,50000,1,16312,,64,51489,28605,4,1,3,4,1,3,310700,4
2335,4,100000,787556,9999999999,4,2310548,500000,102,2205156,2310548,4,2,4,4,8,3,16546427,4
2516,4,,32308,500000,3,357210,250000,30,84000,357210,4,4,4,4,1,4,2268000,4
2712,4,100000,66875,500000,3,393317,250000,59,214001,393317,4,4,4,4,1,4,4994500,4
2876,1,17500,8,250000,2,75332,50000,4,3,75332,4,1,2,2,1,2,956600,1
2925,4,25000,67872,9999999999,4,555132,500000,198,257913,555132,4,2,4,4,4,3,5226249,4
3112,4,7500,7813,50000,1,13520,,17,12501,13520,2,1,3,4,1,2,270400,4
3295,4,10000,3584,50000,1,17677,,9,4301,17677,2,1,3,4,1,2,336700,4
3466,4,10000,60179,500000,3,356145,250000,44,168502,356145,4,4,4,4,6,4,2653431,4
4630,4,6500,2500,50000,1,13337,,3,1000,13337,4,1,3,3,1,3,254030,4
,,,,,,,,,,,,,,,,,,
5192,4,100000,15684,9999999999,4,874025,500000,88,47053,874025,4,1,4,4,8,3,7684562,4
7031,4,100000,1383321,9999999999,4,6294697,500000,148,5809950,6294697,4,4,4,4,9,4,44840944,4
7192,4,50000,67586,250000,2,,50000,104,202757,150000,4,3,3,4,,4,,4
7272,1,25000,5,250000,2,,50000,2,1,56250,4,1,2,2,,3,,4
9614,4,100000,32907,500000,3,307378,250000,38,105303,307378,4,4,4,4,5,4,4098369,4
10423,4,25000,2592,250000,2,77088,50000,21,5703,77088,4,1,3,4,1,3,978900,4
10500,4,15000,33403,50000,1,48030,,60,106890,48030,4,2,3,4,1,3,640400,4
12105,4,25000,167579,9999999999,4,710396,500000,117,636801,710396,4,1,4,4,7,3,5225000,4
13071,4,15000,251697,9999999999,4,1092449,500000,229,1308824,1092449,4,4,4,4,4,4,10069567,4
13107,4,50000,121643,500000,3,473319,250000,78,340601,473319,4,3,4,4,74,4,3975247,4
13159,4,7500,163563,250000,2,27636,50000,31,392550,163563,1,1,3,4,4,2,453272,4
13226,4,,468182,500000,3,95855,250000,75,1030000,468182,4,4,4,4,1,4,1217200,4
13406,4,50000,7214,500000,3,482612,250000,16,10100,482612,4,1,4,4,4,3,3240000,4
18401,4,3000,46818,250000,2,143427,50000,38,103000,143427,4,1,3,4,1,3,1821300,4
20153,4,10000,21250,50000,1,24645,,67,38250,24645,4,1,3,4,1,3,492900,4
20984,4,10000,46591,50000,1,19153,,41,102500,46591,4,1,3,4,1,3,364810,4
21189,3,25000,975,250000,2,108006,50000,16,1755,108006,4,1,3,4,1,2,1371500,2
29649,4,25000,61650,500000,3,422138,250000,30,184950,422138,4,4,4,4,6,4,3228800,4
33361,,,,,,,,,,,,,,,,,,
45402,4,50000,77193,250000,2,125207,50000,41,200701,150000,4,3,3,4,1,4,1589930,4
