customer_no,Contribution_total_giving,Tickets_Total_Amount,Tickets_Number_of_Unique_Perfs,num stb last 5 years,num yrs donor,num yrs sub,num yrs stb,Difference between Earliest Engagement and Earliest Contribution,First Contribution,Category
1088,3855,11134.5,86,0,15,17,9,3846,0,Under-Patron
1093,11407,7315.5,75,0,13,11,10,11397,0,Under-Patron
1250,2830,19760,97,2,18,22,15,2815,0,Under-Patron
1320,4820,7082,87,11,20,22,19,4801,0,Under-Patron
1391,15072,13875,80,4,18,22,13,15059,0,Under-Patron
1400,3998,3450,22,3,3,6,6,3992,0,Under-Patron
1412,1255,,,15,1,0,5,1250,0,Under-Patron
1548,11220,14321,90,6,19,22,19,11201,0,Under-Patron
1621,285570,16820,59,2,21,21,8,285562,0,Under-Patron
1643,475,926.5,8,12,2,9,14,461,0,Under-Patron
1743,10985.5,1659.5,33,0,20,1,8,10978,0,Under-Patron
1755,77385,20229,114,0,18,17,16,77369,0,Under-Patron
1925,3930,24707.75,78,3,15,22,15,3915,25,Under-Patron
1940,3707.2,13469.25,96,7,20,22,19,3688,0,Under-Patron
2024,47859.5,3732.75,55,6,15,16,15,47845,70,Under-Patron
2037,2292.5,6285,107,10,15,22,21,2272,0,Under-Patron
2098,6955,13557,88,6,15,22,17,6938,0,Under-Patron
2104,45183,12889,40,2,14,4,14,45169,0,Under-Patron
2192,354596.48,47760.5,127,9,18,21,18,354578,0,Under-Patron
2202,8843,13738,79,0,13,18,11,8832,0,Under-Patron
2334,36470,13309,92,2,21,22,14,36456,0,Under-Patron
2438,11920,14618.75,96,10,18,22,20,11900,10,Under-Patron
2547,11100,2802,7,0,4,0,7,11093,1000,Under-Patron
2568,18345,10051.5,73,9,15,17,20,18325,25,Under-Patron
2575,570,648.5,15,7,14,17,13,557,10,Under-Patron
2586,21725,4296.25,24,0,19,6,3,21722,50,Under-Patron
2631,638,10598,89,2,6,18,11,627,9,Under-Patron
2645,14893,1719,13,1,9,0,12,14881,200,Under-Patron
2667,27425,4925.5,36,0,17,4,10,27415,100,Under-Patron
2689,14550,10324.5,80,0,21,22,12,14538,25,Under-Patron
2722,8945,5004,84,7,20,22,15,8930,10,Under-Patron
2764,2920,6528.5,80,0,10,11,8,2912,100,Under-Patron
2832,14620,5377.25,91,15,16,22,18,14602,10,Under-Patron
2899,1840,24.5,4,0,16,0,2,1838,25,Under-Patron
2928,12561,9676.5,80,6,20,21,16,12545,20,Under-Patron
2944,4515,1900,83,10,19,22,15,4500,5,Under-Patron
2973,480,2493.75,54,0,6,16,10,470,25,Under-Patron
2999,4110,6375.5,24,7,4,13,10,4100,10,Under-Patron
3066,3025,5031,63,0,7,15,11,3014,25,Under-Patron
3068,5750,,,5,15,22,12,5738,10,Under-Patron
3112,22921.5,6005.5,80,0,3,7,4,22918,25,Under-Patron
3171,4220,3793,20,2,2,0,1,4219,15,Under-Patron
3236,100,,,0,20,5,12,88,10,Under-Patron
3265,12675,4549,27,10,9,15,14,12661,100,Under-Patron
3295,19750,3397,36,0,7,0,2,19748,50,Under-Patron
3335,58895,580,7,5,2,0,3,58892,25,Under-Patron
3432,1761.25,,1,0,18,18,13,1748,15,Under-Patron
3522,2050,5973,82,2,16,20,16,2034,100,Under-Patron
3654,29250,14133.25,75,1,18,19,17,29233,20,Under-Patron
3806,22873,28247,89,3,21,20,17,22856,100,Under-Patron
3807,40100,26263.5,90,15,12,22,20,40080,40,Under-Patron
3905,1805,5649,90,3,13,20,16,1789,650,Under-Patron
3923,4455,10874,88,0,7,7,7,4448,25,Under-Patron
4005,810,1250,21,9,6,0,16,794,0,Under-Patron
4057,610,340.75,13,9,21,8,14,596,250,Under-Patron
4245,306523,37444.75,84,3,18,22,17,306506,100,Under-Patron
4278,34111.5,31610.5,86,2,2,0,11,34101,0,Under-Patron
4380,5250,1268.75,12,0,15,16,15,5235,25,Under-Patron
4406,84970,23845,127,5,14,22,12,84958,0,Under-Patron
4413,715,5849.25,83,0,19,0,6,709,0,Under-Patron
4438,4170,531,9,8,18,22,18,4152,25,Under-Patron
4630,8670,5081.5,76,6,15,19,20,8650,20,Under-Patron
4657,64990.99,14351,83,1,16,18,16,64975,0,Under-Patron
4857,19758,33369.5,95,10,22,18,16,19742,15,Under-Patron
4864,10334.75,4166.75,84,0,13,0,4,10331,0,Under-Patron
4875,13575,288,4,20,17,20,20,13555,100,Under-Patron
5148,12300,14661.5,91,3,8,15,13,12287,5,Under-Patron
5168,1480,3740,42,2,18,19,12,1468,1000,Under-Patron
5192,31695.6,19915.75,70,2,5,0,9,31687,75,Under-Patron
5278,2750,867,12,6,20,21,18,2732,0,Under-Patron
5558,6919,7966.5,81,0,9,0,3,6916,2500,Under-Patron
5759,80567.99,2356,11,1,15,17,16,80552,0,Under-Patron
7039,64619,10551.5,112,0,22,22,5,64614,1000,Under-Patron
7068,52652,20919.5,82,5,19,22,19,52633,35,Under-Patron
7081,5589,12608,88,16,1,7,17,5572,50,Under-Patron
7136,360,3091.25,26,5,17,22,17,343,20,Under-Patron
7137,80088,24849.5,131,14,21,22,20,80068,200,Under-Patron
7197,73225.34,7518.75,100,13,16,22,21,73204,25,Under-Patron
7272,15239.5,16866.75,93,0,8,18,13,15227,50,Under-Patron
7287,3650,5172,88,16,1,21,21,3629,50,Under-Patron
7634,150,6738,84,1,2,19,13,137,2000,Under-Patron
8810,13530,14091,80,0,2,3,4,13526,15,Under-Patron
10117,135,784,8,10,11,22,19,116,50,Under-Patron
10238,5922,4430.25,101,1,4,17,16,5906,40,Under-Patron
10309,170,6196.5,92,5,3,6,11,159,50,Under-Patron
10325,1721,4636,36,6,1,20,17,1704,30,Under-Patron
10392,195,5867.75,71,0,6,0,5,190,25,Under-Patron
10465,1165,531,4,7,22,22,20,1145,50,Under-Patron
10507,12615,6747,118,0,16,2,5,12610,250,Under-Patron
10555,77002,3636.25,26,0,17,18,12,76990,25,Under-Patron
10584,1883.25,2211,85,1,9,11,2,1881,50,Under-Patron
10640,6250,642,7,18,9,22,21,6229,0,Under-Patron
10740,4464,36119,100,0,20,19,8,4456,100,Under-Patron
10834,42860,15107.5,86,9,22,22,21,42839,25,Under-Patron
10836,31277.5,6975.5,96,3,14,22,14,31264,30,Under-Patron
10845,9144,4269.5,88,1,3,22,17,9127,700,Under-Patron
10877,758.25,14423.5,87,6,9,21,18,740,0,Under-Patron
10959,2716,6825,77,0,12,1,11,2705,25,Under-Patron
10989,2225,3810,18,7,3,5,5,2220,5,Under-Patron
10993,467,,,16,21,22,23,444,10,Under-Patron
10999,412755.39,16793.5,114,4,19,22,21,412734,25,Under-Patron
11010,70098.5,6973.5,115,5,5,19,14,70085,25,Under-Patron
11017,1350,9922.25,81,3,2,6,9,1341,25,Under-Patron
11146,485,996.5,8,19,19,21,21,464,50,Under-Patron
11245,21207.75,6571.25,100,16,15,22,21,21187,100,Under-Patron
11273,6175,10111,87,11,3,21,19,6156,5,Under-Patron
11304,578.75,8698.5,85,20,22,22,22,557,0,Under-Patron
11559,41845.27,23948,83,1,9,14,6,41839,0,Under-Patron
11573,495,1229,51,1,11,15,11,484,25,Under-Patron
11576,6045,7128,81,1,8,4,7,6038,25,Under-Patron
11684,925,587,11,1,5,4,3,922,0,Under-Patron
11724,3129,276,2,14,10,18,13,3116,15,Under-Patron
11750,1438,3514.5,53,19,22,22,21,1417,20,Under-Patron
11800,8695.75,7383,137,3,12,22,14,8682,100,Under-Patron
11860,7920,33334.5,87,8,20,21,19,7901,215.72,Under-Patron
11872,19211.72,4749.5,96,6,10,7,14,19198,25,Under-Patron
11874,1469.5,1116,43,2,12,14,14,1456,25,Under-Patron
12105,58281.82,19812.5,72,13,20,21,14,58268,50,Under-Patron
12108,35525,22707.5,86,6,17,22,19,35506,25,Under-Patron
12368,15774,29282.5,94,6,18,22,18,15756,10,Under-Patron
12405,7637.53,10699,89,10,21,22,21,7617,50,Under-Patron
12428,35255,10670,107,11,19,22,21,35234,25,Under-Patron
12434,6540,8178.5,93,15,9,22,18,6522,10,Under-Patron
12451,560,3372,89,9,12,20,19,541,25,Under-Patron
12731,7722.84,25600,90,6,19,20,18,7705,25,Under-Patron
12750,3250,5079.25,86,2,15,22,17,3233,20,Under-Patron
12754,1610,3479.75,89,0,18,18,13,1597,10,Under-Patron
12772,2590,7437.25,92,3,4,0,14,2576,25,Under-Patron
12784,1300,5166,36,3,16,0,17,1283,33,Under-Patron
12808,7653,5661,22,0,1,16,14,7639,50,Under-Patron
12898,50,4365,85,1,11,22,19,31,25,Under-Patron
12933,14893,18270,89,3,14,22,8,14885,5,Under-Patron
12964,735,2858.25,80,3,1,0,4,731,0,Under-Patron
13093,15798.5,520,4,12,5,18,17,15782,4,Under-Patron
13124,362.5,8388.5,58,9,5,13,12,351,2500,Under-Patron
13159,17500,3318,21,2,18,17,18,17482,50,Under-Patron
13181,87850,27740.5,88,3,19,21,16,87834,25,Under-Patron
13399,6644.5,3511.75,61,7,21,22,18,6627,50,Under-Patron
13406,25131,15083.5,104,23,22,22,21,25110,10,Under-Patron
13449,13556,16403.75,100,6,6,22,18,13538,2,Under-Patron
13952,5370,,,2,11,6,10,5360,250,Under-Patron
14505,352,3592.5,86,7,5,22,19,333,100,Under-Patron
15182,25341.5,10037,24,0,7,3,3,25339,10,Under-Patron
15361,1225,8527,86,1,14,0,7,1218,125,Under-Patron
16132,5620,260,5,20,7,20,21,5599,12,Under-Patron
16194,6310,3074,17,7,1,22,20,6290,12,Under-Patron
16744,868.5,7824,91,1,1,0,8,861,25,Under-Patron
17089,12,9219.25,87,5,21,21,18,-6,311.5,Under-Patron
19034,250,513,5,0,8,22,14,236,67,Under-Patron
19036,53500.34,21317.25,104,9,6,21,20,53480,125,Under-Patron
20091,897,7321,89,4,8,0,19,878,25,Under-Patron
20134,3229.5,13776.5,88,15,22,22,18,3212,50,Under-Patron
20170,1513,3423,36,6,1,19,15,1498,25,Under-Patron
20275,121050,7306.5,108,7,5,11,9,121041,25,Under-Patron
20354,75,5074,62,2,20,17,13,62,5,Under-Patron
20452,1875.9,2331,23,0,16,22,15,1861,50,Under-Patron
20502,4640,6073.5,81,3,10,21,13,4627,100,Under-Patron
20696,21008,9190.25,109,5,6,21,18,20990,45,Under-Patron
20830,1985,5677.25,88,2,1,3,3,1982,0,Under-Patron
20877,1595,5755.75,94,6,7,18,20,1575,40,Under-Patron
21080,17222,894,3,1,2,18,17,17205,10,Under-Patron
21135,2340,4202.75,61,11,12,22,20,2320,25,Under-Patron
21155,20,7860.25,84,4,20,22,16,4,200,Under-Patron
21189,19380.09,27385.75,93,0,1,3,2,19378,10,Under-Patron
21257,24453,12070.25,88,18,9,22,21,24432,25,Under-Patron
21391,975,130,3,0,18,18,3,972,25,Under-Patron
21508,552.25,10357.5,92,14,5,8,6,546,100,Under-Patron
21562,16050,10765.5,47,17,5,1,4,16046,25,Under-Patron
21615,4850,,,16,18,21,21,4829,200,Under-Patron
21765,1802.33,,,0,10,15,13,1789,4,Under-Patron
22296,7289,7940.75,90,9,17,22,19,7270,25,Under-Patron
22625,5504,8245,89,8,21,22,18,5486,20,Under-Patron
22669,3800,12841.5,87,1,19,3,11,3789,100,Under-Patron
23699,30738,2202.5,74,8,14,16,14,30724,50,Under-Patron
23867,66175,5078,17,5,1,21,9,66166,100,Under-Patron
23897,4729,4813.5,40,9,12,22,18,4711,125,Under-Patron
25623,200,6713.5,75,8,19,22,20,180,25,Under-Patron
26002,62626,15161,90,3,6,22,15,62611,25,Under-Patron
27171,11030,24841.25,85,12,17,21,17,11013,50,Under-Patron
27187,1625,21491.5,83,0,18,16,10,1615,100,Under-Patron
27541,8088,13875,91,0,5,3,4,8084,31,Under-Patron
27615,14301.5,16329.75,90,1,6,11,12,14290,500,Under-Patron
27812,5426,4128,24,16,20,22,21,5405,25,Under-Patron
27827,1514.75,6575.25,70,3,15,17,18,1497,100,Under-Patron
28148,13076,5090.25,103,6,5,0,19,13057,100,Under-Patron
28162,26950,28243,90,13,15,22,19,26931,25,Under-Patron
30006,2294.75,1713,20,1,9,11,8,2287,25,Under-Patron
30018,21189,13244.5,82,3,6,22,17,21172,19,Under-Patron
30099,1520,2612.5,45,0,6,14,6,1514,25,Under-Patron
30614,1769,14431.5,77,15,21,22,21,1748,100,Under-Patron
31993,13993.44,2383.75,55,0,13,11,9,13984,100,Under-Patron
33830,8320,31719,81,0,9,10,12,8308,1500,Under-Patron
34091,18100,2995,50,7,22,22,21,18079,20,Under-Patron
34109,167460.92,33121,86,1,13,22,12,167449,35,Under-Patron
34366,17950,4902,101,4,14,18,17,17933,240,Under-Patron
37043,4029,13697.5,84,0,7,12,14,4015,0,Under-Patron
37083,45392,12988,97,4,2,6,9,45383,100,Under-Patron
37459,8530,15504,111,4,13,18,17,8513,35,Under-Patron
