customer_no,Affinity_Rating,Capacity_Database_USA_Individual_Income,Capacity_Donations,Capacity_Range_High,Capacity_Range_Low,Capacity_Rating,Capacity_Real_Estate,Donations_Count,Donations_Total_Value,Est__Capacity_Value,Frequency,Monetary,PROscore,Propensity_Rating,Properties_Count,RFM,Properties_Total_Value,Recency
1088,4,20000,1583,250000,50000,2,55149,8,1900,55149,4,1,3,4,1,3,700300,4
1093,4,,3000,50000,,1,8584,5,3000,8584,4,1,3,4,1,3,327000,4
1250,3,17500,1250,50000,,1,26523,3,500,37500,4,1,2,3,1,3,505200,4
1320,1,10000,378,50000,,1,,49,1211,15000,4,1,2,4,,3,,4
1391,1,,,250000,50000,2,67764,,,67764,4,1,1,1,1,3,860500,4
1400,1,50000,,500000,250000,3,181297,3,,250000,4,1,2,1,3,2,2247553,1
1412,,,,,,,,,,,,,,,,,,
1548,4,50000,16002,500000,250000,3,427306,31,38404,427306,4,1,4,4,2,3,3418907,4
1621,4,100000,5299531,9999999999,500000,4,440549,547,24377841,5299531,4,4,4,4,4,4,5594277,4
1643,4,,3451,50000,,1,,19,6211,3451,2,1,3,4,,2,,3
1743,4,20000,3723,50000,,1,6566,18,6702,37500,4,1,3,4,1,3,625300,4
1755,4,10000,67419,500000,250000,3,412798,50,161806,412798,4,3,4,4,2,4,2620940,4
1925,4,15000,975,250000,50000,2,56808,12,1950,56808,4,1,3,4,2,3,883900,4
1940,3,6000,1250,50000,,1,5455,1,250,7500,4,1,3,4,1,3,207800,4
2024,4,50000,57769,250000,50000,2,110959,41,150200,150000,4,1,3,4,1,3,1409000,4
2037,3,50000,1064,250000,50000,2,,5,851,150000,4,1,3,4,,3,,4
2098,3,,1250,50000,,1,26864,2,500,26864,4,1,2,3,1,3,511700,4
2104,1,25000,2,250000,50000,2,126110,4,1,126110,4,1,2,2,1,3,1601400,4
2192,4,25000,67820,250000,50000,2,,98,244153,67820,4,4,3,4,,4,,4
2202,4,200000,25039,9999999999,500000,4,653346,44,65101,653346,4,1,4,4,4,3,4148230,3
2334,4,15000,17365,250000,50000,2,56495,57,45150,56495,4,1,3,4,1,3,717400,4
2438,4,10000,2813,9999999999,500000,4,1215945,39,4500,1215945,4,1,4,4,14,3,8024082,4
2547,4,,15651122,9999999999,500000,4,4993224,307,68864938,15651122,1,1,4,4,15,1,35324638,1
2568,4,15000,8042,50000,,1,32781,37,28950,32781,4,1,3,4,1,3,624400,4
2575,1,25000,144,500000,250000,3,358451,11,202,358451,4,1,3,4,3,3,3201782,4
2586,4,,6995,250000,50000,2,183974,99,27981,183974,4,1,3,4,4,3,1168088,4
2631,4,15000,628,250000,50000,2,111955,11,1005,111955,3,1,3,4,5,3,1263100,4
2645,4,,1973,250000,50000,2,114062,64,7102,114062,4,1,3,4,1,3,1448400,4
2667,4,50000,10766,9999999999,500000,4,893727,51,34452,893727,4,1,4,4,4,3,8107760,4
2689,4,15000,7504,250000,50000,2,124313,23,15008,124313,4,1,3,4,4,3,1433669,4
2722,4,7500,3111,50000,,1,13418,18,5600,13418,4,1,3,4,1,3,255579,4
2764,3,6500,836,50000,,1,23597,9,1003,23597,4,1,3,4,2,3,641100,4
2832,4,10000,2500,50000,,1,,2,1000,15000,4,1,3,4,,3,,4
2899,4,15000,722,50000,,1,25772,29,2166,25772,4,1,3,4,1,3,490900,4
2928,4,10000,3750,50000,,1,28193,5,3000,28193,4,1,3,4,1,3,537000,4
2944,3,20000,794,250000,50000,2,58897,10,953,58897,4,1,3,4,1,3,747900,4
2973,1,7500,,50000,,1,,,,8750,2,1,1,1,,1,,1
2999,4,100000,1728,500000,250000,3,126677,41,3801,250000,1,1,4,4,1,1,1608600,2
3066,1,25000,250,250000,50000,2,138577,6,300,138577,4,1,2,4,9,3,1661203,4
3068,4,50000,90416,9999999999,500000,4,594701,158,361663,594701,2,1,4,4,11,2,3775880,4
3112,4,7500,7813,50000,,1,13520,17,12501,13520,2,1,3,4,1,2,270400,4
3171,1,15000,688,250000,50000,2,83833,9,1100,83833,4,1,2,4,1,3,1064552,4
3236,3,,17250,50000,,1,14246,5,10350,17250,1,1,3,4,1,2,542700,4
3265,4,50000,63379,250000,50000,2,122716,58,215490,150000,4,1,3,4,1,3,1558300,4
3295,4,10000,3584,50000,,1,17677,9,4301,17677,2,1,3,4,1,2,336700,4
3335,4,10000,129365,9999999999,500000,4,639093,295,543331,639093,4,2,4,4,3,3,4057732,4
3432,1,17500,3125,50000,,1,17546,3,1250,37500,3,1,2,4,1,3,334200,4
3522,3,20000,934,250000,50000,2,83459,24,1681,83459,4,1,3,4,2,3,1059800,4
3654,4,50000,65968,500000,250000,3,292838,86,197903,292838,4,1,4,4,4,3,2725700,3
3806,1,50000,2068,9999999999,500000,4,1931910,18,4550,1931910,4,1,3,4,5,3,13160530,4
3807,3,20000,1840,250000,50000,2,63496,40,6256,63496,4,1,3,4,1,3,806300,4
3905,3,,625,50000,,1,21824,8,500,21824,4,1,2,3,1,3,415700,4
3923,4,15000,3333,500000,250000,3,361599,3,2000,361599,3,1,4,4,7,3,2590200,4
4005,3,25000,112,250000,50000,2,61504,24,313,61504,4,1,3,4,1,3,781000,4
4057,4,6500,2103,50000,,1,,28,7150,8750,2,1,3,4,,2,,4
4245,4,50000,112500,250000,50000,2,126664,77,270000,126664,4,4,3,4,1,4,1688851,4
4278,4,50000,36463,9999999999,500000,4,665198,100,131268,665198,4,1,4,4,6,3,5281100,4
4380,4,50000,38333,9999999999,500000,4,780751,5,23000,780751,2,1,4,4,5,2,6225500,4
4406,4,25000,138750,250000,50000,2,68268,74,277500,138750,4,3,3,4,1,4,866900,4
4413,3,10000,500,50000,,1,36582,1,100,36582,4,1,2,3,2,3,587700,4
4438,4,10000,531,50000,,1,18018,19,1487,18018,4,1,3,4,1,3,343200,4
4630,4,6500,2500,50000,,1,13337,3,1000,13337,4,1,3,3,1,3,254030,4
4657,4,17500,97333,250000,50000,2,123015,55,233600,123015,3,2,3,4,2,3,1562100,4
4857,3,,3,250000,50000,2,91106,2,1,91106,4,1,3,4,1,2,1156900,1
4864,4,25000,25161,250000,50000,2,106494,71,90581,106494,4,1,3,4,1,3,1352300,4
4875,4,50000,45358,500000,250000,3,241266,72,127003,250000,3,1,4,4,1,3,3063700,4
5148,4,,34894,50000,,1,28966,49,97702,34894,2,1,3,4,2,2,367821,4
5168,3,15000,2383,50000,,1,38457,21,4765,38457,2,1,3,4,5,1,655790,1
5192,4,100000,15684,9999999999,500000,4,874025,88,47053,874025,4,1,4,4,8,3,7684562,4
5278,4,,22398,250000,50000,2,77136,179,94073,77136,1,1,3,4,1,1,979500,1
5558,4,25000,2822,250000,50000,2,96833,20,5644,96833,4,1,3,4,1,3,1291100,4
5759,4,25000,9875,250000,50000,2,69946,8,11850,75000,4,2,3,4,1,3,1332300,4
7039,4,,9251,50000,,1,,31,18501,9251,4,2,3,4,,3,,2
7068,4,10000,1172219,9999999999,500000,4,360711,74,3751100,1172219,4,1,4,4,7,3,2632489,4
7081,4,50000,1438,500000,250000,3,339098,11,2300,339098,4,1,4,4,2,3,3032700,4
7136,3,100000,700,500000,250000,3,162264,34,2241,250000,1,1,3,4,1,2,2060500,4
7137,4,7500,21118,50000,,1,,42,63354,21118,4,3,3,4,,4,,4
7197,4,10000,75750,250000,50000,2,15776,57,181801,75750,4,2,3,4,1,3,300500,4
7272,1,25000,5,250000,50000,2,,2,1,56250,4,1,2,2,,3,,4
7287,3,10000,417,50000,,1,18886,6,250,18886,3,1,3,4,1,3,359736,4
7634,3,,,50000,,1,15262,25,,15262,1,1,3,4,1,2,193800,4
8810,4,50000,42684,250000,50000,2,161209,72,128051,161209,3,1,3,4,1,3,2047100,4
10117,1,6500,3,50000,,1,12448,3,1,12448,1,1,1,2,1,2,474200,3
10238,4,25000,2157,250000,50000,2,80380,12,3451,80380,4,1,3,4,1,3,1020700,4
10309,2,10000,250,50000,,1,19777,2,100,19777,1,1,2,3,1,2,376700,4
10325,1,10000,,50000,,1,,,,15000,3,1,1,1,,2,,1
10392,1,20000,,250000,50000,2,56330,,,56330,1,1,1,1,1,2,715300,4
10465,4,10000,1501,50000,,1,40736,10,2102,40736,4,1,3,4,3,3,617525,4
